level,arch,app,source_type,sdc_site_mass,share_of_all_sdc_percent
detail,Turing-RTX2060,GESpmm,memory_data_propagation,35478005.000000,0.145915
detail,Turing-RTX2060,GESpmm,predicate_mediated_selection,40550033.000000,0.166776
detail,Turing-RTX2060,GESpmm,scalar_computation_transfer,43548164.000000,0.179106
detail,Turing-RTX2060,GESpmm,valid_address_substitution,8703669.000000,0.035797
detail,Turing-RTX2060,Gelu,copy_forwarding_transfer,6937282.000000,0.028532
detail,Turing-RTX2060,Gelu,memory_data_propagation,21162578.000000,0.087038
detail,Turing-RTX2060,Gelu,predicate_mediated_selection,188178586.000000,0.773947
detail,Turing-RTX2060,Gelu,scalar_computation_transfer,250335054.000000,1.029586
detail,Turing-RTX2060,Gelu,valid_address_substitution,20715384.000000,0.085199
detail,Turing-RTX2060,Gemm,copy_forwarding_transfer,35272292.000000,0.145069
detail,Turing-RTX2060,Gemm,memory_data_propagation,122714256.000000,0.504703
detail,Turing-RTX2060,Gemm,predicate_mediated_selection,27865856.000000,0.114608
detail,Turing-RTX2060,Gemm,scalar_computation_transfer,203021807.000000,0.834995
detail,Turing-RTX2060,Gemm,valid_address_substitution,1052776.000000,0.004330
detail,Turing-RTX2060,LayerNorm,copy_forwarding_transfer,241713620.000000,0.994128
detail,Turing-RTX2060,LayerNorm,memory_data_propagation,202502523.000000,0.832859
detail,Turing-RTX2060,LayerNorm,predicate_mediated_selection,65197808.000000,0.268148
detail,Turing-RTX2060,LayerNorm,scalar_computation_transfer,692428283.000000,2.847842
detail,Turing-RTX2060,LayerNorm,valid_address_substitution,3593946.000000,0.014781
detail,Turing-RTX2060,MatrixFactorization,copy_forwarding_transfer,108122056.000000,0.444688
detail,Turing-RTX2060,MatrixFactorization,memory_data_propagation,408761666.000000,1.681169
detail,Turing-RTX2060,MatrixFactorization,predicate_mediated_selection,5596539.000000,0.023018
detail,Turing-RTX2060,MatrixFactorization,scalar_computation_transfer,820892516.000000,3.376194
detail,Turing-RTX2060,MatrixFactorization,valid_address_substitution,31493080.000000,0.129526
detail,Turing-RTX2060,MatrixMultiplication,copy_forwarding_transfer,58255320.000000,0.239594
detail,Turing-RTX2060,MatrixMultiplication,memory_data_propagation,323230164.000000,1.329392
detail,Turing-RTX2060,MatrixMultiplication,predicate_mediated_selection,55129408.000000,0.226738
detail,Turing-RTX2060,MatrixMultiplication,scalar_computation_transfer,346874966.000000,1.426639
detail,Turing-RTX2060,MatrixMultiplication,valid_address_substitution,1288888.000000,0.005301
detail,Turing-RTX2060,Pathfinder,copy_forwarding_transfer,44970188.000000,0.184955
detail,Turing-RTX2060,Pathfinder,memory_data_propagation,818818560.000000,3.367664
detail,Turing-RTX2060,Pathfinder,predicate_mediated_selection,54586948.000000,0.224507
detail,Turing-RTX2060,Pathfinder,scalar_computation_transfer,184605543.000000,0.759252
detail,Turing-RTX2060,Pathfinder,valid_address_substitution,90081634.000000,0.370491
detail,Turing-RTX2060,Render,copy_forwarding_transfer,130287907.000000,0.535852
detail,Turing-RTX2060,Render,memory_data_propagation,632442717.000000,2.601131
detail,Turing-RTX2060,Render,predicate_mediated_selection,1037760.000000,0.004268
detail,Turing-RTX2060,Render,scalar_computation_transfer,834648711.000000,3.432771
detail,Turing-RTX2060,Render,valid_address_substitution,6527493.000000,0.026846
detail,Turing-RTX2060,Softmax,copy_forwarding_transfer,60316953.000000,0.248074
detail,Turing-RTX2060,Softmax,memory_data_propagation,253071054.000000,1.040839
detail,Turing-RTX2060,Softmax,predicate_mediated_selection,21089774.000000,0.086739
detail,Turing-RTX2060,Softmax,scalar_computation_transfer,131386010.000000,0.540369
detail,Turing-RTX2060,Softmax,valid_address_substitution,21614783.000000,0.088898
detail,Turing-RTX2060,Stencil1D,copy_forwarding_transfer,42834033.000000,0.176169
detail,Turing-RTX2060,Stencil1D,memory_data_propagation,192734844.000000,0.792686
detail,Turing-RTX2060,Stencil1D,predicate_mediated_selection,4183426.000000,0.017206
detail,Turing-RTX2060,Stencil1D,scalar_computation_transfer,60370601.000000,0.248294
detail,Turing-RTX2060,Stencil1D,valid_address_substitution,10047772.000000,0.041325
source_total,,,memory_data_propagation,10719055317.000000,44.085688
source_total,,,scalar_computation_transfer,9614553214.000000,39.543055
source_total,,,copy_forwarding_transfer,2163542509.000000,8.898290
source_total,,,predicate_mediated_selection,1379736379.000000,5.674626
source_total,,,valid_address_substitution,437251424.000000,1.798342
